qubits depth min_cut_value entropy_value
10 1 0.1 0.42255105242682645
10 2 0.4 0.6131984483737638
10 3 0.2 1.2867426696981474
10 4 0.3 0.4718984995034197
10 5 0.4 1.216992245935202
10 6 0.5 0.666038641843277
10 7 0.6 1.821372877614668
10 8 0.5 0.548056302436656
10 9 0.9 0.8627651515242107
10 10 1.0 1.6810631637338325
10 11 0.6 1.4103731647314437
10 12 1.4 1.5319597707774284
10 13 0.8 1.5520613688595077
10 14 0.7 1.7515922368483103
10 15 1.0 1.1299408933652102
10 16 1.0 1.3858099024827801
10 17 1.0 1.4117130580387847
10 18 1.9 1.293384374810352
10 19 1.3 1.7283588769279714
10 20 1.6 1.1318959683231185
10 21 1.9 1.7441692634094763
10 22 1.3 1.7061827443459765
10 23 1.7 1.4552313975733935
10 24 1.9 1.7954720075049972
10 25 2.1 2.418433715673914
10 26 2.2 2.504686786265879
10 27 1.9 1.9305361264803083
10 28 2.0 1.2508192788171395
10 29 2.0 1.7000082806336139
10 30 2.4 1.8101217816249964
10 31 2.0 2.9022877176216646
10 32 2.5 1.5735626800170492
10 33 2.4 1.3086386002132544
10 34 2.2 1.9130584472807068
10 35 2.7 1.6209633727378487
10 36 2.8 2.524431402148692
10 37 2.7 2.5774351667554845
10 38 2.5 2.299916349776065
10 39 2.9 1.9123613812779758
10 40 2.7 1.302243046063516
10 41 2.9 1.9926986305105447
10 42 2.5 1.986521824844253
10 43 2.5 1.3908600897525558
10 44 2.6 1.7647060423917296
10 45 3.0 2.3282963940654895
10 46 3.8 1.8508693178615292
10 47 3.3 3.29620171709452
10 48 3.4 2.6433694457463424
10 49 3.1 2.316483964030894
10 50 3.3 2.145113988680083
10 51 3.0 2.1097623205437888
10 52 4.0 1.7619265400874138
10 53 3.6 1.9667666167375277
10 54 3.9 1.6273767661293241
10 55 3.9 2.7864448238815265
10 56 4.2 2.350436316309757
10 57 4.4 1.9435433426848892
10 58 4.5 2.3795839557172567
10 59 4.4 1.9470857882753108
10 60 4.2 1.7952115266804924
10 61 4.9 2.3425220417109753
10 62 4.3 2.0615823908495967
10 63 4.7 1.416862455549521
10 64 4.4 3.1793131339011618
10 65 4.9 2.7297081176807145
10 66 4.5 2.6041353919272003
10 67 4.5 2.0854276939237364
10 68 4.7 1.3072073518334775
10 69 4.2 1.8061794757775762
10 70 4.7 2.7729928683994496
10 71 5.2 2.1488370673038775
10 72 5.6 2.657562920148142
10 73 4.8 1.6771774987613575
10 74 5.5 2.1415584301244452
10 75 4.8 2.276937136850886
10 76 5.1 2.893903759070892
10 77 5.8 1.8747815215722192
10 78 4.7 2.329900539364531
10 79 5.2 2.3401021055253963
10 80 6.9 2.244735482565429
10 81 5.4 2.0398776883906278
10 82 5.0 2.3949902286298923
10 83 5.4 2.418244354013189
10 84 5.2 3.0722058070296234
10 85 5.5 2.156527862513209
10 86 5.8 2.3250288020037226
10 87 5.8 2.3011531211423546
10 88 6.3 2.2811848132272963
10 89 5.8 2.523411431455407
10 90 5.6 3.4686867361088867
10 91 6.1 2.6571919860780193
10 92 5.9 2.833915674782151
10 93 6.2 1.635473858867233
10 94 5.2 2.6970073264217653
10 95 6.1 2.802354066521934
10 96 5.9 2.4439804132897445
10 97 6.3 3.2367378370832114
10 98 5.8 3.545636780726821
10 99 5.7 2.9955084979777666
10 100 6.1 3.6364588134281184
10 101 7.0 2.4465290304374476
10 102 5.9 3.109710668603501
10 103 5.2 3.1312471204914853
10 104 6.5 3.359446036320635
10 105 5.4 2.9286768712783946
10 106 4.9 2.847087667199604
10 107 6.6 1.976277279215187
10 108 6.7 2.463981266789353
10 109 6.5 3.1768426850709837
10 110 5.7 2.96704781519978
10 111 5.8 3.4090324166991324
10 112 6.6 2.9898256942032155
10 113 6.2 2.9859956854247667
10 114 5.9 3.1487346896764983
10 115 6.3 2.981996089190734
10 116 7.5 3.547375640070264
10 117 5.5 3.04457406864283
10 118 6.5 3.1025231368002992
10 119 5.9 3.1442367574767216
10 120 7.1 2.8256945395432225
10 121 6.4 3.3516981229020537
10 122 5.2 2.50997423711945
10 123 5.7 2.964178732509806
10 124 5.8 2.8929637496774685
10 125 5.8 3.4125210498291265
10 126 5.8 3.0369690834028535
10 127 6.5 2.7568947280141143
10 128 6.2 3.4389134078378185
10 129 6.5 2.9491822793936135
10 130 7.8 2.8837106519358566
10 131 6.7 2.9291028590965817
10 132 7.0 3.1610810385275903
10 133 6.8 2.788137391742013
10 134 5.4 2.32549085618988
10 135 6.6 3.486176232454177
10 136 7.2 3.02113619050653
10 137 6.2 2.6748314881332855
10 138 5.6 2.950222275920863
10 139 6.4 2.4647419133297515
10 140 7.5 2.649873434303976
10 141 6.4 3.3636532969399946
10 142 7.5 3.493144239533091
10 143 5.8 2.892809523404509
10 144 6.4 2.8061248661480263
10 145 5.4 3.1557485941285597
10 146 5.7 3.1616241080964307
10 147 5.6 3.4513634815137637
10 148 5.9 3.400094941237593
10 149 7.2 2.792961001821073
10 150 6.8 3.2261778876637357
10 151 7.2 3.3657160455383037
10 152 5.2 3.310615487944579
10 153 6.4 3.940035456976081
10 154 5.4 2.697845023936575
10 155 6.6 3.7587808731454166
10 156 5.2 3.2781277410567284
10 157 9.2 3.1187850464021456
10 158 6.2 3.235756393261311
10 159 6.8 3.036965477160588
10 160 7.2 3.268888210240906
10 161 5.8 3.165996427117176
10 162 6.0 3.272181973825684
10 163 5.6 3.5278513437820918
10 164 5.6 2.148578765626021
10 165 7.1 2.8878801114316874
10 166 6.2 3.225953022065397
10 167 6.0 3.675234439899944
10 168 5.8 3.3699045702416557
10 169 7.8 3.2034702297832434
10 170 5.3 3.32716752907008
10 171 5.4 3.337685668602287
10 172 5.8 3.154021239282668
10 173 6.6 3.376397132776686
10 174 9.8 4.424201738174169
10 175 5.3 2.80640887251584
10 176 5.2 3.354112002902105
10 177 5.4 3.055723990381967
10 178 6.4 2.8816812425665903
10 179 6.6 3.031524228122268
10 180 7.2 3.124109260930542
10 181 8.4 3.798422581463187
10 182 7.6 3.676594183721592
10 183 6.2 3.3394772757558164
10 184 5.7 2.4933578966213887
10 185 6.8 3.4094851799014436
10 186 6.5 3.0622427580332534
10 187 6.6 3.757457563125951
10 188 7.7 3.062600279228941
10 189 5.4 3.2774531034967076
10 190 8.2 2.589739642511894
10 191 7.6 3.557390016615661
10 192 6.2 3.231042474895287
10 193 9.8 2.8345510611882774
10 194 6.0 3.2473730223911175
10 195 8.8 4.0396058467327745
10 196 5.9 3.829248682359508
10 197 7.2 3.492673169543783
10 198 6.0 3.2368514113473283
10 199 5.8 3.550787951496838
10 200 6.0 3.7375072235055242
