qubits depth min_cut_value
3 1 0.7333333333333333
3 2 0.9666666666666667
3 3 1.6333333333333333
3 4 1.8333333333333333
3 5 1.8666666666666667
3 6 2.1
3 7 2.3333333333333335
3 8 2.1333333333333333
3 9 2.4
3 10 2.3
3 11 2.566666666666667
3 12 2.6
3 13 2.466666666666667
3 14 2.566666666666667
3 15 2.7
3 16 2.6666666666666665
3 17 2.6
3 18 2.8333333333333335
3 19 2.466666666666667
3 20 2.3666666666666667
3 21 3.1
3 22 2.7
3 23 2.8666666666666667
3 24 3.066666666666667
3 25 2.8333333333333335
3 26 2.7
3 27 3.1333333333333333
3 28 2.466666666666667
3 29 2.6666666666666665
3 30 2.9
3 31 3.0
3 32 3.033333333333333
3 33 2.8
3 34 2.6666666666666665
3 35 2.8
3 36 2.8
3 37 3.2333333333333334
3 38 3.0
3 39 2.8
3 40 2.7333333333333334
3 41 2.566666666666667
3 42 3.0
3 43 2.9
3 44 2.466666666666667
3 45 2.7
3 46 3.3666666666666667
3 47 2.7
3 48 2.966666666666667
3 49 3.2333333333333334
3 50 3.1333333333333333
4 1 0.3333333333333333
4 2 0.5666666666666667
4 3 0.9333333333333333
4 4 1.2
4 5 1.4666666666666666
4 6 1.4
4 7 1.7333333333333334
4 8 2.2
4 9 2.3666666666666667
4 10 2.1333333333333333
4 11 2.4
4 12 2.5
4 13 2.7666666666666666
4 14 2.5
4 15 2.8333333333333335
4 16 2.7333333333333334
4 17 2.9
4 18 3.2333333333333334
4 19 2.933333333333333
4 20 3.1
4 21 3.6
4 22 2.8333333333333335
4 23 3.3666666666666667
4 24 3.033333333333333
4 25 3.2
4 26 3.1666666666666665
4 27 3.1666666666666665
4 28 3.2666666666666666
4 29 3.433333333333333
4 30 3.433333333333333
4 31 3.3333333333333335
4 32 3.566666666666667
4 33 3.4
4 34 2.966666666666667
4 35 3.3333333333333335
4 36 3.066666666666667
4 37 3.1666666666666665
4 38 3.2333333333333334
4 39 3.3333333333333335
4 40 3.1333333333333333
4 41 3.3333333333333335
4 42 3.1333333333333333
4 43 3.1
4 44 3.7666666666666666
4 45 3.7333333333333334
4 46 3.2333333333333334
4 47 3.433333333333333
4 48 3.7
4 49 3.2666666666666666
4 50 3.5
5 1 0.16666666666666666
5 2 0.5333333333333333
5 3 0.7666666666666667
5 4 1.2
5 5 1.3666666666666667
5 6 0.9666666666666667
5 7 1.6
5 8 1.6
5 9 1.9333333333333333
5 10 2.1666666666666665
5 11 2.066666666666667
5 12 2.3
5 13 2.1
5 14 2.7
5 15 2.7333333333333334
5 16 2.566666666666667
5 17 2.6333333333333333
5 18 2.7333333333333334
5 19 2.5
5 20 3.3333333333333335
5 21 3.0
5 22 3.1
5 23 2.6
5 24 2.6
5 25 3.2
5 26 3.4
5 27 3.466666666666667
5 28 3.533333333333333
5 29 3.033333333333333
5 30 3.566666666666667
5 31 3.533333333333333
5 32 3.1666666666666665
5 33 3.6333333333333333
5 34 3.466666666666667
5 35 4.1
5 36 3.566666666666667
5 37 3.1
5 38 3.5
5 39 3.2333333333333334
5 40 3.466666666666667
5 41 3.7666666666666666
5 42 3.6666666666666665
5 43 3.2666666666666666
5 44 3.533333333333333
5 45 3.566666666666667
5 46 3.966666666666667
5 47 3.3
5 48 3.533333333333333
5 49 3.433333333333333
5 50 3.5
6 1 0.13333333333333333
6 2 0.4666666666666667
6 3 0.6
6 4 1.1
6 5 1.1333333333333333
6 6 1.1333333333333333
6 7 1.4333333333333333
6 8 1.6
6 9 1.5333333333333334
6 10 1.7333333333333334
6 11 1.6
6 12 2.1
6 13 2.033333333333333
6 14 2.2333333333333334
6 15 2.066666666666667
6 16 2.1666666666666665
6 17 2.4
6 18 2.533333333333333
6 19 2.8
6 20 2.466666666666667
6 21 2.8
6 22 2.7333333333333334
6 23 2.7
6 24 2.5
6 25 2.6666666666666665
6 26 2.9
6 27 3.0
6 28 3.4
6 29 3.0
6 30 2.933333333333333
6 31 3.2666666666666666
6 32 3.3333333333333335
6 33 3.1666666666666665
6 34 3.1333333333333333
6 35 3.3333333333333335
6 36 3.3666666666666667
6 37 3.3
6 38 3.7333333333333334
6 39 4.033333333333333
6 40 3.6666666666666665
6 41 3.3333333333333335
6 42 3.2333333333333334
6 43 2.9
6 44 3.1666666666666665
6 45 3.7666666666666666
6 46 3.1666666666666665
6 47 3.533333333333333
6 48 3.6
6 49 3.9
6 50 4.366666666666666
7 1 0.23333333333333334
7 2 0.3333333333333333
7 3 0.3
7 4 0.5666666666666667
7 5 1.1333333333333333
7 6 1.0666666666666667
7 7 1.1
7 8 1.1
7 9 1.4666666666666666
7 10 1.3666666666666667
7 11 1.8333333333333333
7 12 1.6
7 13 1.9
7 14 1.6
7 15 1.9666666666666666
7 16 2.1333333333333333
7 17 1.9666666666666666
7 18 2.2666666666666666
7 19 2.1666666666666665
7 20 2.6
7 21 2.3333333333333335
7 22 2.466666666666667
7 23 3.066666666666667
7 24 2.3666666666666667
7 25 2.6666666666666665
7 26 2.3
7 27 2.533333333333333
7 28 2.933333333333333
7 29 2.7666666666666666
7 30 2.9
7 31 2.933333333333333
7 32 3.0
7 33 3.033333333333333
7 34 2.933333333333333
7 35 3.1666666666666665
7 36 3.2333333333333334
7 37 3.3333333333333335
7 38 3.1333333333333333
7 39 3.6
7 40 3.2
7 41 3.966666666666667
7 42 3.6333333333333333
7 43 3.7666666666666666
7 44 3.8333333333333335
7 45 3.6
7 46 4.133333333333334
7 47 3.1
7 48 4.066666666666666
7 49 4.333333333333333
7 50 3.3666666666666667
8 1 0.13333333333333333
8 2 0.26666666666666666
8 3 0.4666666666666667
8 4 0.6
8 5 0.8
8 6 0.9333333333333333
8 7 1.0666666666666667
8 8 0.8666666666666667
8 9 1.2
8 10 1.4666666666666666
8 11 1.5
8 12 1.5333333333333334
8 13 1.4
8 14 1.6666666666666667
8 15 1.9333333333333333
8 16 2.0
8 17 1.7666666666666666
8 18 2.1666666666666665
8 19 2.066666666666667
8 20 1.9666666666666666
8 21 2.3666666666666667
8 22 2.5
8 23 2.2333333333333334
8 24 2.1333333333333333
8 25 2.566666666666667
8 26 2.6333333333333333
8 27 2.1333333333333333
8 28 2.533333333333333
8 29 2.7
8 30 2.566666666666667
8 31 3.066666666666667
8 32 2.466666666666667
8 33 3.7
8 34 3.0
8 35 3.6666666666666665
8 36 3.466666666666667
8 37 3.033333333333333
8 38 3.433333333333333
8 39 3.433333333333333
8 40 2.8666666666666667
8 41 3.033333333333333
8 42 3.3333333333333335
8 43 2.9
8 44 3.1
8 45 2.8
8 46 3.1
8 47 3.2
8 48 3.3333333333333335
8 49 3.6666666666666665
8 50 3.2666666666666666
9 1 0.03333333333333333
9 2 0.4
9 3 0.43333333333333335
9 4 0.43333333333333335
9 5 0.7666666666666667
9 6 0.7333333333333333
9 7 0.8333333333333334
9 8 0.9666666666666667
9 9 1.1333333333333333
9 10 1.2333333333333334
9 11 1.2
9 12 1.6
9 13 1.3
9 14 1.4
9 15 1.7333333333333334
9 16 1.5333333333333334
9 17 1.5666666666666667
9 18 1.7666666666666666
9 19 1.6333333333333333
9 20 2.1
9 21 1.8
9 22 2.066666666666667
9 23 2.2
9 24 2.2333333333333334
9 25 2.2666666666666666
9 26 1.9666666666666666
9 27 2.433333333333333
9 28 2.566666666666667
9 29 2.5
9 30 2.533333333333333
9 31 2.8333333333333335
9 32 2.933333333333333
9 33 2.6666666666666665
9 34 2.8333333333333335
9 35 2.6
9 36 2.7333333333333334
9 37 2.566666666666667
9 38 2.966666666666667
9 39 2.8666666666666667
9 40 3.1
9 41 3.4
9 42 3.1
9 43 3.033333333333333
9 44 2.6333333333333333
9 45 2.6
9 46 3.2333333333333334
9 47 2.933333333333333
9 48 3.1
9 49 3.1666666666666665
9 50 3.3
10 1 0.03333333333333333
10 2 0.23333333333333334
10 3 0.3333333333333333
10 4 0.6
10 5 0.5666666666666667
10 6 0.5
10 7 0.6666666666666666
10 8 0.8
10 9 1.0
10 10 1.1333333333333333
10 11 0.8666666666666667
10 12 1.2666666666666666
10 13 1.6666666666666667
10 14 1.3333333333333333
10 15 1.5666666666666667
10 16 2.066666666666667
10 17 1.7
10 18 1.7
10 19 1.8333333333333333
10 20 1.5666666666666667
10 21 1.8
10 22 2.1333333333333333
10 23 1.9666666666666666
10 24 2.1333333333333333
10 25 2.1
10 26 2.066666666666667
10 27 2.1666666666666665
10 28 2.066666666666667
10 29 2.2666666666666666
10 30 2.0
10 31 2.3
10 32 2.6333333333333333
10 33 2.7666666666666666
10 34 2.4
10 35 2.7
10 36 2.933333333333333
10 37 2.433333333333333
10 38 2.8
10 39 2.6
10 40 2.3333333333333335
10 41 3.433333333333333
10 42 3.1
10 43 2.6
10 44 3.066666666666667
10 45 2.6333333333333333
10 46 3.4
10 47 3.066666666666667
10 48 3.1
10 49 3.2333333333333334
10 50 3.433333333333333
