qubits depth min_cut_value
20 1 0.0
20 2 0.2
20 3 0.2
20 4 0.2
20 5 0.0
20 6 0.4
20 7 0.2
20 8 0.6
20 9 0.2
20 10 1.0
20 11 0.2
20 12 1.0
20 13 0.8
20 14 0.4
20 15 1.2
20 16 0.4
20 17 0.6
20 18 0.4
20 19 1.0
20 20 0.6
20 21 0.6
20 22 0.8
20 23 1.0
20 24 1.2
20 25 1.0
20 26 1.4
20 27 0.8
20 28 0.8
20 29 0.8
20 30 1.0
20 31 1.4
20 32 0.8
20 33 1.4
20 34 1.2
20 35 1.4
20 36 1.6
20 37 1.4
20 38 2.2
20 39 0.4
20 40 1.4
20 41 1.2
20 42 1.0
20 43 1.2
20 44 2.2
20 45 1.6
20 46 1.8
20 47 1.4
20 48 2.0
20 49 1.8
20 50 1.4
20 51 1.0
20 52 1.4
20 53 1.4
20 54 2.4
20 55 1.0
20 56 1.8
20 57 2.0
20 58 2.4
20 59 1.8
20 60 2.6
20 61 1.4
20 62 2.2
20 63 2.0
20 64 1.8
20 65 1.8
20 66 2.4
20 67 2.4
20 68 2.4
20 69 2.0
20 70 3.2
20 71 2.8
20 72 2.8
20 73 3.4
20 74 2.6
20 75 2.2
20 76 3.0
20 77 2.8
20 78 2.2
20 79 2.6
20 80 2.6
20 81 2.6
20 82 2.8
20 83 3.6
20 84 3.4
20 85 3.0
20 86 3.2
20 87 3.0
20 88 2.6
20 89 3.4
20 90 2.8
20 91 2.6
20 92 3.8
20 93 3.8
20 94 2.4
20 95 3.4
20 96 3.2
20 97 3.6
20 98 3.6
20 99 2.6
20 100 2.8
20 101 3.6
20 102 3.6
20 103 6.0
20 104 2.6
20 105 4.4
20 106 4.2
20 107 2.8
20 108 3.4
20 109 3.8
20 110 2.8
20 111 4.4
20 112 4.2
20 113 3.2
20 114 4.8
20 115 3.8
20 116 5.2
20 117 3.6
20 118 4.0
20 119 5.8
20 120 3.2
20 121 3.0
20 122 4.2
20 123 3.6
20 124 4.4
20 125 4.6
20 126 4.0
20 127 4.2
20 128 5.8
20 129 4.4
20 130 3.6
20 131 5.2
20 132 4.8
20 133 5.0
20 134 5.0
20 135 5.2
20 136 4.8
20 137 3.8
20 138 5.6
20 139 3.8
20 140 5.2
20 141 5.2
20 142 6.0
20 143 6.2
20 144 4.4
20 145 4.6
20 146 6.4
20 147 4.4
20 148 5.2
20 149 5.4
20 150 6.6
20 151 6.0
20 152 6.0
20 153 6.2
20 154 5.4
20 155 6.4
20 156 5.8
20 157 7.4
20 158 5.8
20 159 7.4
20 160 5.2
20 161 7.2
20 162 6.2
20 163 5.0
20 164 5.6
20 165 6.0
20 166 6.0
20 167 8.2
20 168 6.6
20 169 8.8
20 170 5.0
20 171 6.8
20 172 7.2
20 173 7.2
20 174 7.8
20 175 6.6
20 176 5.8
20 177 7.2
20 178 8.6
20 179 9.2
20 180 7.8
20 181 7.8
20 182 8.4
20 183 7.2
20 184 7.6
20 185 8.8
20 186 8.6
20 187 7.6
20 188 8.0
20 189 8.4
20 190 7.2
20 191 8.0
20 192 8.6
20 193 10.2
20 194 6.4
20 195 5.8
20 196 7.0
20 197 10.0
20 198 7.6
20 199 10.6
20 200 9.8
20 201 8.6
20 202 7.2
20 203 9.8
20 204 8.0
20 205 9.6
20 206 9.4
20 207 9.6
20 208 8.4
20 209 8.6
20 210 10.2
20 211 7.8
20 212 9.2
20 213 10.2
20 214 9.0
20 215 8.0
20 216 11.2
20 217 9.2
20 218 11.6
20 219 9.6
20 220 9.8
20 221 10.0
20 222 10.4
20 223 11.4
20 224 9.8
20 225 10.0
20 226 11.6
20 227 11.2
20 228 12.6
20 229 11.0
20 230 11.2
20 231 11.4
20 232 9.8
20 233 9.6
20 234 10.4
20 235 10.2
20 236 10.4
20 237 10.8
20 238 10.6
20 239 11.4
20 240 11.0
20 241 12.4
20 242 9.4
20 243 9.2
20 244 10.2
20 245 11.4
20 246 10.0
20 247 9.6
20 248 9.2
20 249 11.8
20 250 9.8
20 251 11.2
20 252 10.4
20 253 10.0
20 254 11.8
