min_cut_value frequency
2 62
1 10
2 62
3 34
2 62
2 62
2 62
3 34
5 19
3 34
2 62
5 19
4 59
3 34
5 19
4 59
4 59
4 59
4 59
2 62
2 62
2 62
5 19
2 62
2 62
3 34
2 62
2 62
1 10
3 34
1 10
4 59
4 59
3 34
2 62
5 19
3 34
3 34
5 19
4 59
6 12
2 62
2 62
4 59
6 12
4 59
6 12
4 59
1 10
4 59
3 34
2 62
6 12
4 59
4 59
4 59
2 62
5 19
4 59
2 62
2 62
3 34
4 59
4 59
4 59
4 59
2 62
4 59
4 59
4 59
2 62
4 59
4 59
4 59
1002 1
4 59
4 59
2 62
4 59
6 12
4 59
4 59
4 59
3 34
6 12
2 62
6 12
5 19
2 62
2 62
5 19
2 62
5 19
4 59
7 2
4 59
6 12
2 62
4 59
2 62
3 34
3 34
2 62
2 62
2 62
2 62
3 34
2 62
4 59
6 12
4 59
4 59
5 19
4 59
3 34
5 19
3 34
5 19
4 59
6 12
4 59
2 62
3 34
2 62
4 59
4 59
3 34
4 59
3 34
2 62
1 10
3 34
5 19
2 62
7 2
2 62
2 62
4 59
4 59
2 62
2 62
5 19
3 34
2 62
4 59
3 34
5 19
2 62
5 19
1 10
1 10
1 10
3 34
2 62
3 34
2 62
3 34
2 62
4 59
2 62
1 10
4 59
2 62
2 62
2 62
3 34
2 62
2 62
3 34
4 59
4 59
3 34
2 62
3 34
4 59
3 34
3 34
2 62
6 12
2 62
4 59
4 59
0 1
4 59
4 59
6 12
3 34
5 19
2 62
5 19
2 62
2 62
4 59
2 62
2 62
2 62
1 10
4 59
3 34
4 59
